Account,Project Name,Region,Practice,Project Manager,Start Date,End Date,Record ID
BuyerQuest,BuyerQuest-Solr Tuning-Project,MW-STL,Enterprise Search,Sean Hall,9/28/2015,12/31/2015,a1D70000003UblG
Cengage Learning,Cengage - Marklogic Support,MW-CHI,,Phil Favia,3/4/2014,12/31/2014,a1D70000001KCvz
Cengage Learning,XQuery Training,NATL,,Chad Chatfield,10/7/2013,10/31/2013,a1D70000001Imx8
"Cloudera, Inc.",Brattle AD Support,NATL,Big Data,Mike Green,9/17/2015,9/18/2015,a1D70000003UGDn
"Cloudera, Inc.",Cloudera - Barclay Card NATL,NATL,Big Data,Mike Green,10/18/2015,1/29/2016,a1D70000003CxKn
"Cloudera, Inc.",Cloudera - BarclayCard,MW-CHI,Big Data,Doug Gattuso,9/8/2015,12/31/2015,a1D70000003U1xD
"Cloudera, Inc.",Cloudera - Dell Project - Phase 1-2 completion-Project,COE,Big Data,Tom Reidy,1/31/2016,2/29/2016,a1D70000003DGeM
"Cloudera, Inc.",Cloudera-Boulder,NATL,,Chad Chatfield,7/7/2014,9/30/2014,a1D70000001KzWh
"Cloudera, Inc.",Cloudera-CAT,NATL,Big Data,Mike Green,4/5/2015,4/30/2015,a1D70000002k8Vb
"Cloudera, Inc.",Cloudera-WellsFargo,NATL,Big Data,Mike Green,1/26/2015,8/15/2015,a1D70000002iiKs
"Cloudera, Inc.",Hadoop Consulting - DIA,DC,,Niels Nielsen,3/2/2014,1/10/2015,a1D70000001K52s
"Cloudera, Inc.",Hadoop Consulting - DIA 2015,DC,Big Data,Niels Nielsen,1/1/2015,5/23/2015,a1D70000002i6v1
CollabIP,CollabIP - Analytics Workshop-Project,NATL,Big Data,Mike Green,2/22/2016,3/31/2016,a1D39000003R8M8
CollabIP,CollabIP Elastic Kickstart,NATL,,Mike Green,3/16/2015,4/30/2015,a1D70000002juqT
Couchbase,CB-CloudFoundry Implementation,NATL,NoSQL,John Holshey,9/4/2015,12/18/2015,a1D70000003TuAg
Couchbase,CB-DocumentDB Implementation,NATL,NoSQL,John Holshey,9/18/2015,10/6/2015,a1D70000003UGPn
Couchbase,CB-Mongo - MDS Benchmark,NATL,NoSQL,John Holshey,9/1/2015,10/16/2015,a1D70000003U5In
Couchbase,Couchbase-Mongo Compare Round 2,MW-CHI,Enterprise Web,Phil Favia,4/6/2015,5/31/2015,a1D70000002k8XL
Couchbase,Couchbase-Mongo Comparison,NATL,,John Holshey,2/23/2015,3/13/2015,a1D70000002jecU
Couchbase,Nonbillable Couchbase Time,NATL,NoSQL,John Holshey,10/26/2015,12/31/2015,a1D70000003D1vn
Customer Value Partners,CVP - Dept State 2015,DC,Enterprise Search,Niels Nielsen,1/1/2015,9/30/2015,a1D70000002i7aL
Customer Value Partners,CVP DOS Development,DC,Enterprise Search,Niels Nielsen,10/27/2013,9/30/2014,a1D70000001Imws
Customer Value Partners,CVP DOS Development July - Dec 2014,DC,,Niels Nielsen,7/13/2014,12/31/2014,a1D70000001LYA9
Customer Value Partners,CVP DOS Referral Fee,DC,,Niels Nielsen,10/27/2013,12/31/2013,a1D70000001ImwQ
"Data Commons, LLC",Data Commons Planning Support,DC,,Niels Nielsen,1/5/2014,1/31/2014,a1D70000001JlSE
DeseretBook.com,Deseret - Architectural Support,NATL,Enterprise Search,John Holshey,1/14/2016,2/12/2016,a1D39000003Qx0L
Disney,Disney CNRG,NATL,,Mike Green,3/6/2014,4/18/2014,a1D70000001K51f
Disney,Elastic staff aug-Project (Disney),NATL,Enterprise Search,John Holshey,8/28/2015,9/30/2015,a1D70000003TspZ
Disney ABC Television Group,Disney CNRG,NATL,NoSQL,Mike Green,9/1/2014,6/30/2015,a1D70000002KizZ
Economist Intelligence Unit,EIU Sort Troubleshooting,NATL,,Mike Green,7/14/2014,8/1/2014,a1D70000001LhBc
Encore Wire,Encore Website Work,NATL,Enterprise Web,Mike Green,4/13/2015,12/31/2015,a1D70000002kwAj
Explicavi,Managed Mobile Service Development,DC,Enterprise Search,Niels Nielsen,6/15/2015,9/30/2015,a1D70000002lfrj
Explicavi,Managed Mobile Services POC,DC,Enterprise Search,Niels Nielsen,3/15/2015,6/13/2015,a1D70000002juPf
Federation of State Medical Boards,FSMB-DocInfo Search,NATL,Enterprise Search,Mike Green,3/30/2015,6/12/2015,a1D70000002k0ym
"FedEx Corporate Services, Inc.",ASK,NATL,,Chad Chatfield,9/10/2012,11/2/2012,a1D70000001ImwJ
"FedEx Corporate Services, Inc.",Enterprise Taxonomy Roadmap,NATL,Enterprise Search,John Holshey,3/1/2016,5/31/2016,a1D39000003RANV
"FedEx Corporate Services, Inc.",FedEx - FY15 App Support,NATL,,John Holshey,6/1/2014,5/31/2015,a1D70000001Kiu7
"FedEx Corporate Services, Inc.",FedEx - Getty Replacement,NATL,,John Holshey,2/1/2014,5/31/2014,a1D70000001Jwrx
"FedEx Corporate Services, Inc.",FedEx FY15 Hosting Support,NATL,,John Holshey,6/1/2014,5/31/2015,a1D70000001Kiv7
